"true_gmr","cv_pct","n_required","power_at_n","parameter"
0.9,24,102,0.802731497521883,"Cmax"
0.91,24,86,0.804839015228032,"Cmax"
0.92,24,74,0.808174192290746,"Cmax"
0.93,24,64,0.807993522491292,"Cmax"
0.94,24,56,0.806094928864801,"Cmax"
0.95,24,50,0.803952590186342,"Cmax"
0.96,24,46,0.804291650672438,"Cmax"
0.97,24,44,0.812096428841013,"Cmax"
0.98,24,42,0.80982350186474,"Cmax"
0.99,24,42,0.821694749103356,"Cmax"
1,24,40,0.800583757970555,"Cmax"
0.9,13,32,0.807796998135058,"AUC0t"
0.91,13,28,0.820862909965311,"AUC0t"
0.92,13,24,0.820375446609651,"AUC0t"
0.93,13,20,0.803520572138661,"AUC0t"
0.94,13,18,0.809088478612118,"AUC0t"
0.95,13,16,0.8014803025448,"AUC0t"
0.96,13,16,0.835915097156583,"AUC0t"
0.97,13,14,0.800179376603235,"AUC0t"
0.98,13,14,0.819898000304817,"AUC0t"
0.99,13,14,0.831712979140872,"AUC0t"
1,13,14,0.835624374993629,"AUC0t"
